"# Ref Fixed Robot Pose (m): x_f=0.03, y_f=0.12, z_f=0.2 | Edge Offset=0.11m"
test_id,cam_p_m,rel_p_m,theta_deg,dist_cm
1,"(0.01, -0.01, 0.26)","(0.00, 0.03, -0.01)",83.1,3.2
2,"(0.09, -0.04, 0.28)","(-0.02, 0.07, -0.03)",110.2,8.0
3,"(0.11, 0.02, 0.26)","(-0.02, 0.03, -0.01)",129.0,3.6
4,"(-0.05, 0.00, 0.25)","(0.02, 0.03, -0.01)",56.5,3.9
5,"(-0.01, 0.00, 0.25)","(0.01, 0.02, -0.1)",69.8,2.4
6,"(0.08, 0.01, 0.26)","(-0.01, 0.02, -0.01)",115.8,2.5
7,"(-0.05, 0.03, 0.23)","(0.01, 0.01, -0.00)",46.6,1.6
8,"(-0.03, 0.01, 0.25)","(0.01, 0.02, -0.01)",62.2,2.3
9,"(0.12, -0.01, 0.27)","(-0.03, 0.04, -0.02)",125.4,6.0
10,"(-0.04, 0.01, 0.25)","(0.01, 0.02, -0.01)",58.4,2.9
11,"(0.11, 0.01, 0.26)","(-0.02, 0.03, -0.01)",124.4,3.7
12,"(0.10, 0.03, 0.24)","(-0.01, 0.01, -0.00)",127.8,0.9
13,"(-0.08, 0.03, 0.24)","(0.03, 0.02, -0.01)",37.4,3.7
14,"(0.14, 0.01, 0.26)","(-0.04, 0.04, -0.02)",135.4,5.8
15,"(0.16, 0.02, 0.25)","(-0.04, 0.03, -0.02)",143.8,5.8
16,"(0.15, 0.02, 0.25)","(-0.04, 0.03, -0.02)",139.9,5.6
17,"(-0.08, 0.02, 0.24)","(0.03, 0.03, -0.01)",41.0,4.6
18,"(-0.11, 0.04, 0.23)","(0.05, 0.03, -0.01)",28.6,5.6
19,"(0.09, -0.02, 0.27)","(-0.02, 0.04, -0.02)",112.9,5.4
20,"(-0.07, 0.03, 0.24)","(0.02, 0.02, -0.01)",39.7,2.9
21,"(-0.03, 0.02, 0.25)","(0.01, 0.01, -0.01)",63.5,1.6
22,"(-0.04, 0.03, 0.24)","(0.01, 0.01, -0.00)",70.2,1.1
23,"(-0.03, 0.00, 0.25)","(0.02, 0.03, -0.01)",55.7,3.5
24,"(-0.01, 0.02, 0.25)","(0.00, 0.01, -0.00)",47.5,1.0
25,"(-0.05, 0.02, 0.25)","(0.02, 0.02, -0.01)",78.1,3.2
26,"(-0.06, 0.01, 0.25)","(0.03, 0.03, -0.01)",77.3,4.3
27,"(-0.04, -0.00, 0.26)","(0.02, 0.04, -0.02)",61.1,4.4
28,"(-0.04, 0.03, 0.24)","(0.01, 0.01, -0.00)",81.4,1.1
29,"(-0.05, 0.01, 0.25)","(0.02, 0.02, -0.01)",76.1,3.3
30,"(-0.06, 0.04, 0.23)","(0.01, 0.01, -0.00)",97.7,1.6
31,"(0.14, 0.03, 0.25)","(-0.03, 0.02, -0.01)",141.2,4.2
32,"(0.14, 0.05, 0.24)","(-0.02, 0.01, -0.01)",146.5,2.8
33,"(0.10, 0.04, 0.24)","(-0.00, 0.00, -0.00)",128.2,0.6
34,"(0.11, -0.01, 0.27)","(-0.03, 0.04, -0.02)",123.3,5.7
35,"(0.13, 0.05, 0.24)","(-0.01, 0.01, -0.00)",144.7,1.2
36,"(0.14, 0.06, 0.23)","(-0.01, 0.01, -0.00)",148.8,1.8
37,"(0.11, 0.02, 0.26)","(-0.02, 0.02, -0.01)",128.7,3.3
38,"(0.14, 0.01, 0.26)","(-0.04, 0.04, -0.02)",135.2,5.4
39,"(0.16, 0.04, 0.24)","(-0.04, 0.02, -0.01)",149.0,4.5
40,"(0.11, 0.03, 0.25)","(-0.01, 0.02, -0.01)",129.6,2.2
